ARG100	ORF	ARG100	CAF0006874	PMID: 8194754|CGD_REF: CAL0080661	unknown ploidy, classical genetics	unspecified		Other C. albicans	auxotrophy	arginine						C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 15701792|CGD_REF: CAL0082331	heterozygous diploid, classical genetics	null		RM1000	filamentous growth: abnormal		solid Spider medium at 30 deg C	hyperfilamentous with increased pseudohyphae and decreased peripheral hyphae; phenotype is intermediate between that of wild type and homozygous null				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 12773383|CGD_REF: CAL0087974	heterozygous diploid, classical genetics (haploinsufficient phenotype assay)	null		CAI-4	filamentous growth: increased		solid Spider medium or solid YEPD plus serum	heterozygous deletion or transposon insertion				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 9204892|CGD_REF: CAL0081053	heterozygous diploid, classical genetics	null		CAI-4	filamentous growth: increased							C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 18680523|CGD_REF: CAL0119367	homozygous diploid, classical genetics	null		Not recorded	interaction with host/environment: abnormal			decreased viability during growth in co-culture with Pseudomonas aeruginosa, specific to hyphal induction media				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 21407800|CGD_REF: CAL0141800	homozygous diploid, classical genetics	null		BWP17	interaction with host/environment: abnormal			significantly reduces adhesion, invasion, and damage to epithelial cells			ex vivo model of infection	C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 20041210|CGD_REF: CAL0124764	homozygous diploid, systematic mutation set	null		SN152	invasive growth: increased		SD or YEPD media at 30 deg C	strongly increased				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 16313617|CGD_REF: CAL0114226	homozygous diploid, classical genetics	null		WO-1	mating response: abnormal		MTLalpha strain mated to MTLa tester	cells of smooth morphology are mating-defective, but fuzzy, frizzy, and wrinkled are mating-competent, with reduced efficiency compared to wild type				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 9204892|CGD_REF: CAL0081053	homozygous diploid, classical genetics	null		Not recorded	vegetative growth: increased rate			glycerol carbon source				C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 17604452|CGD_REF: CAL0118249	heterozygous diploid, large-scale survey (haploinsufficient phenotype assay, barcode deletion set)	null		SC5314	viable							C. albicans
C1_00060W_A	ORF	TUP1	CAL0000186393	PMID: 12581357|CGD_REF: CAL0081069	heterozygous diploid, classical genetics	overexpression		CAI-4	viable							C. albicans
C1_00070W_A	ORF	MVD	CAL0000181620	PMID: 17604452|CGD_REF: CAL0118249	heterozygous diploid, large-scale survey (haploinsufficient phenotype assay, barcode deletion set)	null		SC5314	viable							C. albicans
C1_00070W_A	ORF	MVD	CAL0000181620	PMID: 21135205|CGD_REF: CAL0139967	heterozygous diploid, large-scale survey (large-scale identification of genes essential for virulence in mouse)	repressible		CAI-4	virulence: absent						mouse intravenous infection	C. albicans
C1_00080C_A	ORF	RCA1	CAL0000191329	PMID: 22253597|CGD_REF: CAL0000143883	homozygous diploid, classical genetics	null		CAI-4	viable							C. albicans
C1_00080C_A	ORF	RCA1	CAL0000191329	PMID: 22253597|CGD_REF: CAL0000143883	homozygous diploid, classical genetics	null		CAI-4	filamentous growth: decreased			in response to serum				C. albicans
C1_00080C_A	ORF	RCA1	CAL0000191329	PMID: 22253597|CGD_REF: CAL0000143883	homozygous diploid, classical genetics	null		CAI-4	resistance to chemicals: decreased	Congo Red						C. albicans
C1_00080C_A	ORF	RCA1	CAL0000191329	PMID: 22253597|CGD_REF: CAL0000143883	homozygous diploid, classical genetics	null		CAI-4	resistance to chemicals: decreased	caffeine						C. albicans
C1_00080C_A	ORF	RCA1	CAL0000191329	PMID: 22253597|CGD_REF: CAL0000143883	homozygous diploid, classical genetics	null		CAI-4	resistance to chemicals: decreased	sodium dodecyl sulfate						C. albicans
C1_00080C_A	ORF	RCA1	CAL0000191329	PMID: 22253597|CGD_REF: CAL0000143883	homozygous diploid, classical genetics	null		CAI-4	vegetative growth: decreased rate			77% increase of generation time				C. albicans
C1_00080C_A	ORF	RCA1	CAL0000191329	PMID: 22581526|CGD_REF: CAL0000157314	homozygous diploid, systematic mutation set	null		BWP17	resistance to chemicals: decreased	flucytosine						C. albicans
C1_00080C_A	ORF	RCA1	CAL0000191329	PMID: 22581526|CGD_REF: CAL0000157314	homozygous diploid, systematic mutation set	null		BWP17	resistance to chemicals: increased	fluconazole						C. albicans
C1_00080C_A	ORF	RCA1	CAL0000191329	PMID: 22581526|CGD_REF: CAL0000157314	homozygous diploid, systematic mutation set	null		BWP17	resistance to chemicals: increased	caspofungin						C. albicans
C1_00080C_A	ORF	RCA1	CAL0000191329	PMID: 20041210|CGD_REF: CAL0124764	homozygous diploid, systematic mutation set	null		SN152	colony appearance: abnormal		Spider medium at 30 deg C	strongly increased colony fuzziness and/or peripheral filamentation				C. albicans
C1_00080C_A	ORF	RCA1	CAL0000191329	PMID: 20041210|CGD_REF: CAL0124764	homozygous diploid, systematic mutation set	null		SN152	invasive growth: increased		YEPD medium at 30 deg C	strongly increased				C. albicans
C1_00080C_A	ORF	RCA1	CAL0000191329	PMID: 20041210|CGD_REF: CAL0124764	homozygous diploid, systematic mutation set	null		SN152	vegetative growth: decreased		YEPD, SD, or Lee's pH 4.5 media at 30 deg C	strongly decreased				C. albicans
C1_00100C_A	ORF		CAL0000197186	PMID: 23856128|CGD_REF: CAL0000172540	homozygous diploid, classical genetics	null		BWP17	resistance to chemicals: decreased	propolis						C. albicans
C1_00100C_A	ORF		CAL0000197186	PMID: 14663094|CGD_REF: CAL0080633	homozygous diploid, systematic mutation set (homozygous insertion mutants generated with URA3-ARG4-URA3 (UAU1) cassette)	null		BWP17	viable							C. albicans
C1_00110W_A	ORF	CCT8	CAL0000175759	PMID: 9846730|CGD_REF: CAL0080836	homozygous diploid, classical genetics	null		CAI-4	inviable			homozygous null mutant strain could not be recovered, suggesting that the gene is essential under the selection conditions				C. albicans
C1_00110W_A	ORF	CCT8	CAL0000175759	PMID: 9846730|CGD_REF: CAL0080836	heterozygous diploid, classical genetics	null		CAI-4	viable							C. albicans
C1_00110W_A	ORF	CCT8	CAL0000175759	PMID: 9846730|CGD_REF: CAL0080836	heterozygous diploid, classical genetics	null		CAI-4	hyphal growth: normal		solid or liquid serum-containing media					C. albicans
C1_00110W_A	ORF	CCT8	CAL0000175759	PMID: 9846730|CGD_REF: CAL0080836	heterozygous diploid, classical genetics	overexpression		CAI-4	germ tube formation: delayed		GlcNAc-containing liquid medium or serum-containing solid media					C. albicans
C1_00110W_A	ORF	CCT8	CAL0000175759	PMID: 17604452|CGD_REF: CAL0118249	heterozygous diploid, competitive growth (haploinsufficient phenotype assay, barcode deletion set)	null		SC5314	resistance to chemicals: decreased	cytochalasin D						C. albicans
C1_00110W_A	ORF	CCT8	CAL0000175759	PMID: 9846730|CGD_REF: CAL0080836	heterozygous diploid, classical genetics	overexpression		CAI-4	germ tube formation: absent		solid Spider medium					C. albicans
C1_00110W_A	ORF	CCT8	CAL0000175759	PMID: 9846730|CGD_REF: CAL0080836	heterozygous diploid, classical genetics	null		CAI-4	hyphal growth: absent		solid Spider medium					C. albicans
C1_00110W_A	ORF	CCT8	CAL0000175759	PMID: 9846730|CGD_REF: CAL0080836	heterozygous diploid, classical genetics	overexpression		CAI-4	hyphal growth: absent		solid Spider medium					C. albicans
C1_00110W_A	ORF	CCT8	CAL0000175759	PMID: 14507372|CGD_REF: CAL0088818	heterozygous diploid, large-scale survey (large-scale identification of essential genes by gene replacement and conditional expression (GRACE) method)	repressible		CAI-4	inviable			one allele is deleted and the other is placed under repressible Tet promoter				C. albicans
C1_00110W_A	ORF	CCT8	CAL0000175759	PMID: 17604452|CGD_REF: CAL0118249	heterozygous diploid, large-scale survey (haploinsufficient phenotype assay, barcode deletion set)	null		SC5314	viable							C. albicans
C1_00110W_A	ORF	CCT8	CAL0000175759	PMID: 20949076|CGD_REF: CAL0126511	heterozygous diploid, competitive growth	null		BWP17	invasive growth: decreased		solid SLAD media					C. albicans
C1_00110W_A	ORF	CCT8	CAL0000175759	PMID: 9846730|CGD_REF: CAL0080836	unknown ploidy, classical genetics	overexpression		Other C. albicans	viable							C. albicans
C1_00120C_A	ORF	TRP1	CAL0000186853	PMID: 7958943|CGD_REF: CAL0081993	homozygous diploid, classical genetics	null		Not recorded	viable							C. albicans
C1_00120C_A	ORF	TRP1	CAL0000186853	PMID: 7958943|CGD_REF: CAL0081993	heterozygous diploid, classical genetics	null		Not recorded	viable							C. albicans
C1_00120C_A	ORF	TRP1	CAL0000186853	PMID: 7958943|CGD_REF: CAL0081993	homozygous diploid, classical genetics	null		Not recorded	auxotrophy	tryptophan						C. albicans
C1_00120C_A	ORF	TRP1	CAL0000186853	PMID: 20141603|CGD_REF: CAL0124951	homozygous diploid, systematic mutation set (homozygous insertion mutants generated with URA3-ARG4-URA3 (UAU1) cassette)	null		BWP17	auxotrophy	tryptophan						C. albicans
C1_00120C_A	ORF	TRP1	CAL0000186853	PMID: 17604452|CGD_REF: CAL0118249	heterozygous diploid, large-scale survey (haploinsufficient phenotype assay, barcode deletion set)	null		SC5314	viable							C. albicans
C1_00120C_A	ORF	TRP1	CAL0000186853	PMID: 20141603|CGD_REF: CAL0124951	homozygous diploid, systematic mutation set (homozygous insertion mutants generated with URA3-ARG4-URA3 (UAU1) cassette)	null		BWP17	viable							C. albicans
C1_00130C_A	ORF	VPS53	CAL0000194290	PMID: 17604452|CGD_REF: CAL0118249	heterozygous diploid, large-scale survey (haploinsufficient phenotype assay, barcode deletion set)	null		SC5314	viable							C. albicans
C1_00140W_A	ORF	KEL1	CAL0000190815	PMID: 14500538|CGD_REF: CAL0081606	homozygous diploid, classical genetics	null		Not recorded	viable		liquid YPD at 37 deg C	wild-type growth rate				C. albicans
C1_00140W_A	ORF	KEL1	CAL0000190815	PMID: 14500538|CGD_REF: CAL0081606	homozygous diploid, classical genetics	null		CAI-4	filamentous growth: abnormal		solid M199 or Spider media	reduced filamentation ratio of colonies				C. albicans
C1_00140W_A	ORF	KEL1	CAL0000190815	PMID: 14500538|CGD_REF: CAL0081606	homozygous diploid, classical genetics	null		Not recorded	virulence: normal						mouse intravenous infection	C. albicans
C1_00140W_A	ORF	KEL1	CAL0000190815	PMID: 14500538|CGD_REF: CAL0081606	homozygous diploid, classical genetics	null		Not recorded	adhesion: normal		adhesion to human buccal epithelial cells					C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 10601209|CGD_REF: CAL0081188	homozygous diploid, classical genetics	null	rim8::hisG/rim8::hisG-URA3-hisG	CAI-4	viable							C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 10629054|CGD_REF: CAL0081720	homozygous diploid, classical genetics	null	rim8::URA3/rim8::ARG4	BWP17	viable							C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 11810234|CGD_REF: CAL0081756	homozygous diploid, classical genetics	null		Not recorded	viable							C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 10601209|CGD_REF: CAL0081188	homozygous diploid, classical genetics	null	rim8::hisG/rim8::hisG-URA3-hisG	CAI-4	filamentous growth: absent		solid serum-containing medium or solid M199 at pH 7.5					C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 10992507|CGD_REF: CAL0081776	homozygous diploid, classical genetics	null		Not recorded	virulence: decreased		endothelial cells	decreased capacity to damage cells			in vitro model of infection	C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 10992507|CGD_REF: CAL0081776	homozygous diploid, classical genetics	null		Not recorded	virulence: decreased			decreased kidney colonization late in infection			mouse intravenous infection	C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 10992507|CGD_REF: CAL0081776	homozygous diploid, classical genetics	null		Not recorded	virulence: decreased						mouse intravenous infection	C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 20375342|CGD_REF: CAL0125177	homozygous diploid, classical genetics	null		BWP17	virulence: decreased		BALB/C mice				mouse corneal infection	C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 10601209|CGD_REF: CAL0081188	homozygous diploid, classical genetics	null	rim8::hisG/rim8::hisG-URA3-hisG	CAI-4	filamentous growth: abnormal		liquid M199 at pH 7.5	chains of yeast-form cells form				C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 10601209|CGD_REF: CAL0081188	homozygous diploid, classical genetics	null	rim8::hisG/rim8::hisG-URA3-hisG	CAI-4	filamentous growth: decreased		solid Spider or Lee's media					C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 20375342|CGD_REF: CAL0125177	homozygous diploid, classical genetics	null		BWP17	filamentous growth: decreased		solid M199 medium pH 7.3 or 8.0					C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 10601209|CGD_REF: CAL0081188	heterozygous diploid, classical genetics	null	rim8::hisG/rim8::hisG-URA3-hisG	CAI-4	viable							C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 10601209|CGD_REF: CAL0081188	homozygous diploid, classical genetics	null	rim8::hisG/rim8::hisG-URA3-hisG	CAI-4	invasive growth: absent		solid serum-containing medium					C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 10601209|CGD_REF: CAL0081188	homozygous diploid, classical genetics	null	rim8::hisG/rim8::hisG-URA3-hisG	CAI-4	vegetative growth: decreased rate		pH 4 or 7					C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 12819929|CGD_REF: CAL0081778	homozygous diploid, classical genetics	null		Not recorded	vegetative growth: decreased rate		alkaline pH					C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 10629054|CGD_REF: CAL0081720	homozygous diploid, classical genetics	null	rim8::URA3/rim8::ARG4	BWP17	hyphal growth: absent		alkaline pH					C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 11810234|CGD_REF: CAL0081756	homozygous diploid, classical genetics	null		Not recorded	hyphal growth: absent		M199 or serum-containing media					C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 10992507|CGD_REF: CAL0081776	heterozygous diploid, classical genetics	null		Not recorded	virulence: normal						mouse intravenous infection	C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 10601209|CGD_REF: CAL0081188	heterozygous diploid, classical genetics	null	rim8::hisG/rim8::hisG-URA3-hisG	CAI-4	hyphal growth: decreased		solid serum-containing medium					C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 10601209|CGD_REF: CAL0081188	homozygous diploid, classical genetics	null	rim8::hisG/rim8::hisG-URA3-hisG	CAI-4	entry into G0 (stationary phase): abnormal			multibudded cells at stationary phase				C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 10601209|CGD_REF: CAL0081188	heterozygous diploid, classical genetics	null	rim8::hisG/rim8::hisG-URA3-hisG	CAI-4	germ tube formation: normal		liquid media					C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 10601209|CGD_REF: CAL0081188	homozygous diploid, classical genetics	null	rim8::hisG/rim8::hisG-URA3-hisG	CAI-4	germ tube formation: normal		liquid Spider, Lee's, or serum-containing media at 37 deg C					C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 20375342|CGD_REF: CAL0125177	homozygous diploid, classical genetics	null		BWP17	invasive growth: decreased		porcine corneal tissue	depth of hyphal penetration into corneal tissue is reduced			ex vivo model of infection	C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 14507372|CGD_REF: CAL0088818	heterozygous diploid, large-scale survey (large-scale identification of essential genes by gene replacement and conditional expression (GRACE) method)	repressible		CAI-4	inviable			one allele is deleted and the other is placed under repressible Tet promoter				C. albicans
C1_00150C_A	ORF	RIM8	CAL0000197201	PMID: 17604452|CGD_REF: CAL0118249	heterozygous diploid, large-scale survey (haploinsufficient phenotype assay, barcode deletion set)	null		SC5314	viable							C. albicans
C1_00160C_A	ORF		CAL0000200313	PMID: 21414038|CGD_REF: CAL0141808	homozygous diploid, classical genetics	null		BWP17	viable							C. albicans
C1_00160C_A	ORF		CAL0000200313	PMID: 17604452|CGD_REF: CAL0118249	heterozygous diploid, large-scale survey (haploinsufficient phenotype assay, barcode deletion set)	null		SC5314	viable							C. albicans
C1_00170W_A	ORF	LEU4	CAL0000186267	PMID: 17604452|CGD_REF: CAL0118249	heterozygous diploid, competitive growth (haploinsufficient phenotype assay, barcode deletion set)	null		SC5314	resistance to chemicals: decreased	ergosterol analogs (ECC69 and/or ECC1384)						C. albicans
C1_00170W_A	ORF	LEU4	CAL0000186267	PMID: 17604452|CGD_REF: CAL0118249	heterozygous diploid, large-scale survey (haploinsufficient phenotype assay, barcode deletion set)	null		SC5314	viable							C. albicans
C1_00180W_A	ORF	RPL16A	CAL0000175593	PMID: 12773383|CGD_REF: CAL0087974	heterozygous diploid, classical genetics (haploinsufficient phenotype assay)	unspecified		CAI-4	filamentous growth: decreased		solid Spider medium or solid YEPD plus serum	transposon insertion proximal to, but not within, the ORF				C. albicans
C1_00180W_A	ORF	RPL16A	CAL0000175593	PMID: 17604452|CGD_REF: CAL0118249	heterozygous diploid, large-scale survey (haploinsufficient phenotype assay, barcode deletion set)	null		SC5314	viable							C. albicans
C1_00220W_A	ORF	PHR2	CAL0000181783	PMID: 10559174|CGD_REF: CAL0081719	homozygous diploid, classical genetics	null		Other C. albicans	viable							C. albicans
